year,month,diff_temp
1938,7,-.09
1938,8,-.05
1938,9,.01
1938,10,.15
1938,11,.08
1938,12,-.12
1939,1,-0.05
1939,2,-0.06
1939,3,-0.17
1939,4,-0.1
1939,5,-.04
1939,6,-.07
1939,7,-.05
1939,8,-.06
1939,9,-.07
1939,10,-.04
1939,11,.07
1939,12,.43
1940,1,0.0
1940,2,0.08
1940,3,0.09
1940,4,0.18
1940,5,.11
1940,6,.12
1940,7,.13
1940,8,.07
1940,9,.15
1940,10,.11
1940,11,.16
1940,12,.31
1941,1,0.18
1941,2,0.31
1941,3,0.1
1941,4,0.16
1941,5,.17
1941,6,.13
1941,7,.22
1941,8,.15
1941,9,.02
1941,10,.35
1941,11,.23
1941,12,.22
1942,1,0.29
1942,2,0.03
1942,3,0.06
1942,4,0.1
1942,5,.11
1942,6,.05
1942,7,.00
1942,8,-.04
1942,9,-.03
1942,10,.02
1942,11,.10
1942,12,.12
1943,1,-0.01
1943,2,0.18
1943,3,-0.03
1943,4,0.11
1943,5,.07
1943,6,-.05
1943,7,.09
1943,8,.00
1943,9,.05
1943,10,.23
1943,11,.20
1943,12,.24
1944,1,0.36
1944,2,0.24
1944,3,0.26
1944,4,0.19
1944,5,.20
1944,6,.16
1944,7,.18
1944,8,.18
1944,9,.28
1944,10,.27
1944,11,.11
1944,12,.04
1945,1,0.1
1945,2,0.01
1945,3,0.06
1945,4,0.2
1945,5,.06
1945,6,.01
1945,7,.04
1945,8,.26
1945,9,.20
1945,10,.19
1945,11,.07
1945,12,-.07
1946,1,0.15
1946,2,0.03
1946,3,0.01
1946,4,0.06
1946,5,-.07
1946,6,-.21
1946,7,-.12
1946,8,-.20
1946,9,-.07
1946,10,-.07
1946,11,-.05
1946,12,-.31
1947,1,-0.06
1947,2,-0.07
1947,3,0.07
1947,4,0.06
1947,5,-.02
1947,6,-.02
1947,7,-.04
1947,8,-.07
1947,9,-.12
1947,10,.07
1947,11,.03
1947,12,-.13
1948,1,0.07
1948,2,-0.14
1948,3,-0.24
1948,4,-0.12
1948,5,.00
1948,6,-.05
1948,7,-.11
1948,8,-.12
1948,9,-.14
1948,10,-.05
1948,11,-.12
1948,12,-.23
1949,1,0.07
1949,2,-0.14
1949,3,-0.02
1949,4,-0.11
1949,5,-.10
1949,6,-.27
1949,7,-.13
1949,8,-.13
1949,9,-.14
1949,10,-.06
1949,11,-.10
1949,12,-.18
1950,1,-0.26
